rideable_type,started_at,start_date,start_day_of_the_week,start_time,ended_at,end_date,end_day_of_the_week,end_time,start_station_name,end_station_name
classic_bike,3/31/2024 16:04,3/31/2024,Sunday,16:04:00,3/31/2024 16:31,3/31/2024,Sunday,16:31:00,Lincoln Park Conservatory,Michigan Ave & Ida B Wells Dr
classic_bike,3/2/2024 12:55,3/2/2024,Saturday,12:55:00,3/2/2024 13:11,3/2/2024,Saturday,13:11:00,Clinton St & 18th St,Michigan Ave & Ida B Wells Dr
classic_bike,3/14/2024 15:34,3/14/2024,Thursday,15:34:00,3/14/2024 15:41,3/14/2024,Thursday,15:41:00,LaSalle St & Washington St,Michigan Ave & Ida B Wells Dr
classic_bike,3/28/2024 16:35,3/28/2024,Thursday,16:35:00,3/28/2024 17:02,3/28/2024,Thursday,17:02:00,Wabash Ave & Wacker Pl,Michigan Ave & Ida B Wells Dr
classic_bike,3/28/2024 16:42,3/28/2024,Thursday,16:42:00,3/28/2024 17:02,3/28/2024,Thursday,17:02:00,Wabash Ave & Wacker Pl,Michigan Ave & Ida B Wells Dr
classic_bike,3/28/2024 16:41,3/28/2024,Thursday,16:41:00,3/28/2024 17:02,3/28/2024,Thursday,17:02:00,Wabash Ave & Wacker Pl,Michigan Ave & Ida B Wells Dr
classic_bike,3/28/2024 16:41,3/28/2024,Thursday,16:41:00,3/28/2024 17:02,3/28/2024,Thursday,17:02:00,Wabash Ave & Wacker Pl,Michigan Ave & Ida B Wells Dr
electric_bike,3/24/2024 7:16,3/24/2024,Sunday,7:16:00,3/24/2024 7:31,3/24/2024,Sunday,7:31:00,Noble St & Milwaukee Ave,Michigan Ave & Ida B Wells Dr
classic_bike,3/5/2024 8:26,3/5/2024,Tuesday,8:26:00,3/5/2024 8:32,3/5/2024,Tuesday,8:32:00,Michigan Ave & 14th St,Michigan Ave & Ida B Wells Dr
electric_bike,3/23/2024 14:40,3/23/2024,Saturday,14:40:00,3/23/2024 14:47,3/23/2024,Saturday,14:47:00,LaSalle St & Jackson Blvd,Michigan Ave & Ida B Wells Dr
